COURSE_CODE	COURSE_TITLE	SECTION_ID	ACAD_DEPT	PROC_DEPT	TERM1	TERM2	TERM3	TERM4	START_DATE	END_DATE	NUM_OF_PARTICIPANTS	WEEKLY_HOURS	YEAR	SEARCH_ID1	SEARCH_ID2	SEARCH_ID3	INSTR1	INSTR2	INSTR3	INSTR4	INSTR5	INSTR6	INSTR7	INSTR8	INTSR9	INSTR10	ALL_INSTRUCTORS	OPERATION	OLD_COURSE_CODE	OLD_COURSE_SECTION
ACC600-50A-16923-7W1-20238	20238 - ACC600-50A - Accounting for Decision-Making and Control (Fall 2023)	ACC600-50A-16923-7W1-20238		UOML					01/01/2000	01/01/2100																	c00430102			
ACC600-52-16924-7W1-20238	20238 - ACC600-52 - Accounting for Decision-Making and Control (Fall 2023)	ACC600-52-16924-7W1-20238		UOML					01/01/2000	01/01/2100																	c00430102			
ACC603-37-14918-7W2-20238	20238 - ACC603-37 - Cases in Financial Reporting Issues (Fall 2023)	ACC603-37-14918-7W2-20238		UOML					01/01/2000	01/01/2100																	c06036205			
ACC603-39-14919-7W2-20238	20238 - ACC603-39 - Cases in Financial Reporting Issues (Fall 2023)	ACC603-39-14919-7W2-20238		UOML					01/01/2000	01/01/2100																	c06036205			
ACC616-01-02642-12D-20235	20235 - ACC616-01 - CPA Review I (Summer 2023)	ACC616-01-02642-12D-20235		UOML					01/01/2000	01/01/2100																	c11870564			
ACC616-01-17816-1-20238	20238 - ACC616-01 - CPA Review I (Fall 2023)	ACC616-01-17816-1-20238		UOML					01/01/2000	01/01/2100																	c11870564			
ACC617-01-02641-12D-20235	20235 - ACC617-01 - CPA Review II (Summer 2023)	ACC617-01-02641-12D-20235		UOML					01/01/2000	01/01/2100																	c11870564			
ACC617-01-17817-1-20238	20238 - ACC617-01 - CPA Review II (Fall 2023)	ACC617-01-17817-1-20238		UOML					01/01/2000	01/01/2100																	c11870564			
ACC620-08-01493-12D-20235	20235 - ACC620-08 - Accounting Controls in Information Technology (Summer 2023)	ACC620-08-01493-12D-20235		UOML					01/01/2000	01/01/2100																	c11912334			
ACC623-57-14908-7W1-20238	20238 - ACC623-57 - International Accounting and Taxation (Fall 2023)	ACC623-57-14908-7W1-20238		UOML					01/01/2000	01/01/2100																	c03114008			
ACC623-59-14909-7W1-20238	20238 - ACC623-59 - International Accounting and Taxation (Fall 2023)	ACC623-59-14909-7W1-20238		UOML					01/01/2000	01/01/2100																	c03114008			
ACC628-30-14910-7W1-20238	20238 - ACC628-30 - Introduction to Accounting Analytics (Fall 2023)	ACC628-30-14910-7W1-20238		UOML					01/01/2000	01/01/2100																	c11912334			
ACC628-32-14911-7W1-20238	20238 - ACC628-32 - Introduction to Accounting Analytics (Fall 2023)	ACC628-32-14911-7W1-20238		UOML					01/01/2000	01/01/2100																	c11912334			
ACC628-35-14912-7W1-20238	20238 - ACC628-35 - Introduction to Accounting Analytics (Fall 2023)	ACC628-35-14912-7W1-20238		UOML					01/01/2000	01/01/2100																	c11912334			
ACC631-52-14913-7W1-20238	20238 - ACC631-52 - Business Combinations & Complex Estimates (Fall 2023)	ACC631-52-14913-7W1-20238		UOML					01/01/2000	01/01/2100																	c10602181			
ACC631-55-14914-7W1-20238	20238 - ACC631-55 - Business Combinations & Complex Estimates (Fall 2023)	ACC631-55-14914-7W1-20238		UOML					01/01/2000	01/01/2100																	c10602181			
ACC632-01-01484-5W2-20235	20235 - ACC632-01 - Intermediate Accounting I (Summer 2023)	ACC632-01-01484-5W2-20235		UOML					01/01/2000	01/01/2100																	c00541847			
ACC633-06-01491-12D-20235	20235 - ACC633-06 - Intermediate Accounting II (Summer 2023)	ACC633-06-01491-12D-20235		UOML					01/01/2000	01/01/2100																	c00430102			
ACC634-04-01487-12D-20235	20235 - ACC634-04 - Cost Accounting (Summer 2023)	ACC634-04-01487-12D-20235		UOML					01/01/2000	01/01/2100																	c00677794			
ACC635-02-01485-5W2-20235	20235 - ACC635/496-02 - MERGED - Auditing (Summer 2023)	ACC635-02-01485-5W2-20235		UOML					01/01/2000	01/01/2100																	c00148503			
ACC636-03-01486-5W2-20235	20235 - ACC636/496-03 - MERGED - Accounting Systems (Summer 2023)	ACC636-03-01486-5W2-20235		UOML					01/01/2000	01/01/2100																	c00660782			
ACC639-35-14915-7W1-20238	20238 - ACC639-35 - Income Taxation and Business Entitles (Fall 2023)	ACC639-35-14915-7W1-20238		UOML					01/01/2000	01/01/2100																	c00288679			
ACC639-37-14916-7W1-20238	20238 - ACC639-37 - Income Taxation and Business Entitles (Fall 2023)	ACC639-37-14916-7W1-20238		UOML					01/01/2000	01/01/2100																	c00288679			
ACC640-35-14925-7W2-20238	20238 - ACC640-35 - Corporate Taxation I (Fall 2023)	ACC640-35-14925-7W2-20238		UOML					01/01/2000	01/01/2100																	c00288679			
ACC643-37-15060-7W2-20238	20238 - ACC643-37 - Tax Research (Fall 2023)	ACC643-37-15060-7W2-20238		UOML					01/01/2000	01/01/2100																	c00288679			
ACC645-52-15081-7W2-20238	20238 - ACC645-52 - Partnership Taxation (Fall 2023)	ACC645-52-15081-7W2-20238		UOML					01/01/2000	01/01/2100																	c05009869			
ACC650-01-02429-12D-20235	20235 - ACC650-01 - Accounting Internship (Summer 2023)	ACC650-01-02429-12D-20235		UOML					01/01/2000	01/01/2100																	c11870564			
ACC650-02-02645-12D-20235	20235 - ACC650-02 - Accounting Internship (Summer 2023)	ACC650-02-02645-12D-20235		UOML					01/01/2000	01/01/2100																	c11870564			
ACC664-52-14920-7W2-20238	20238 - ACC664-52 - Financial Reporting & Regulatory Issues in Complex Deals (Fall 2023)	ACC664-52-14920-7W2-20238		UOML					01/01/2000	01/01/2100																	c23921192			
ACC664-55-14921-7W2-20238	20238 - ACC664-55 - Financial Reporting & Regulatory Issues in Complex Deals (Fall 2023)	ACC664-55-14921-7W2-20238		UOML					01/01/2000	01/01/2100																	c23921192			
ACC666-50-14984-7W1-20238	20238 - ACC666-50 - Accounting for Sustainability (Fall 2023)	ACC666-50-14984-7W1-20238		UOML					01/01/2000	01/01/2100																	c00677794			
ACC670-02-15084-1-20238	20238 - ACC670-02 - Financial Reporting and Analysis (Fall 2023)	ACC670-02-15084-1-20238		UOML					01/01/2000	01/01/2100																	c00430102			
ACC670-04-01483-10W-20235	20235 - ACC670-04 - Financial Reporting and Analysis (Summer 2023)	ACC670-04-01483-10W-20235		UOML					01/01/2000	01/01/2100																	c00430102			
ACC670-30-14905-7W1-20238	20238 - ACC670-30 - Financial Reporting and Analysis (Fall 2023)	ACC670-30-14905-7W1-20238		UOML					01/01/2000	01/01/2100																	c12139173			
ACC671-25-17251-7W2-20238	20238 - ACC671-25 - Accounting for Decision Making (Fall 2023)	ACC671-25-17251-7W2-20238		UOML					01/01/2000	01/01/2100																	c00430102			
ACC672-55-14922-7W2-20238	20238 - ACC672-55 - Financial Statement Analysis (Fall 2023)	ACC672-55-14922-7W2-20238		UOML					01/01/2000	01/01/2100																	c12143542			
ACC672-57-14923-7W2-20238	20238 - ACC672-57 - Financial Statement Analysis (Fall 2023)	ACC672-57-14923-7W2-20238		UOML					01/01/2000	01/01/2100																	c12143542			
ACC672-59-14924-7W2-20238	20238 - ACC672-59 - Financial Statement Analysis (Fall 2023)	ACC672-59-14924-7W2-20238		UOML					01/01/2000	01/01/2100																	c12143542			
ACC673-05-01489-12D-20235	20235 - ACC673-05 - Taxation for Business and Investment Decisions (Summer 2023)	ACC673-05-01489-12D-20235		UOML					01/01/2000	01/01/2100																	c04621959			
ACC699-01-02430-12D-20235	20235 - ACC699-01 - Directed Readings (Summer 2023)	ACC699-01-02430-12D-20235		UOML					01/01/2000	01/01/2100																	c11870564			
ACC699-01-17883-1-20238	20238 - ACC699-01 - Directed Readings (Fall 2023)	ACC699-01-17883-1-20238		UOML					01/01/2000	01/01/2100																	c11870564			
ACC703-01-17760-1-20238	20238 - ACC703-01 - Empirical Accounting Research III (Fall 2023)	ACC703-01-17760-1-20238		UOML					01/01/2000	01/01/2100																	c23921192			
ACC715-01-17850-1-20238	20238 - ACC715-01 - Seminar-Based Doctoral Students Workshop in Accounting (Fall 2023)	ACC715-01-17850-1-20238		UOML					01/01/2000	01/01/2100																	c23921192			
ACC830-01-02665-12D-20235	20235 - ACC830-01 - Pre-Candidacy Dissertation Research (Summer 2023)	ACC830-01-02665-12D-20235		UOML					01/01/2000	01/01/2100																	c23921192			
ACC830-01-17190-1-20238	20238 - ACC830-01 - Pre-Candidacy Dissertation Research (Fall 2023)	ACC830-01-17190-1-20238		UOML					01/01/2000	01/01/2100																	c23921192			
ACC840-01-02462-12D-20235	20235 - ACC840-01 - Post-Candidacy Dissertation Research (Summer 2023)	ACC840-01-02462-12D-20235		UOML					01/01/2000	01/01/2100																	c23921192			
ACC840-01-17354-1-20238	20238 - ACC840-01 - Post-Candidacy Dissertation Research (Fall 2023)	ACC840-01-17354-1-20238		UOML					01/01/2000	01/01/2100																	c23921192			
AhmedHabbabaSandbox	Ahmed Habbaba Sandbox	AhmedHabbabaSandbox		UOML					01/01/2000	01/01/2100																	c24008030			
AIS101-1N-01172-1-20238	20238 - AIS101-1N - Heritage and Values 1 (Fall 2023)	AIS101-1N-01172-1-20238		UOML					01/01/2000	01/01/2100																	c23732856			
AIS150-4A-01173-1-20238	20238 - AIS150-4A - Leadership Laboratory (Fall 2023)	AIS150-4A-01173-1-20238		UOML					01/01/2000	01/01/2100																	c23732856			
AIS201-5N-01174-1-20238	20238 - AIS201-5N - Team and Leadership Fundamentals I (Fall 2023)	AIS201-5N-01174-1-20238		UOML					01/01/2000	01/01/2100																	c23732856			
